[0:00:05] | Templates: 6382 | Hosts: 1 | RPS: 95 | Matched: 0 | Errors: 0 | Requests: 500/14616 (3%)
[0:00:10] | Templates: 6382 | Hosts: 1 | RPS: 129 | Matched: 0 | Errors: 0 | Requests: 1331/14616 (9%)
[0:00:15] | Templates: 6382 | Hosts: 1 | RPS: 129 | Matched: 0 | Errors: 1 | Requests: 1980/14616 (13%)
[0:00:20] | Templates: 6382 | Hosts: 1 | RPS: 128 | Matched: 0 | Errors: 2 | Requests: 2598/14616 (17%)
[0:00:25] | Templates: 6382 | Hosts: 1 | RPS: 135 | Matched: 0 | Errors: 2 | Requests: 3435/14616 (23%)
[0:00:30] | Templates: 6382 | Hosts: 1 | RPS: 139 | Matched: 0 | Errors: 7 | Requests: 4220/14616 (28%)
[0:00:35] | Templates: 6382 | Hosts: 1 | RPS: 141 | Matched: 0 | Errors: 7 | Requests: 4999/14616 (34%)
[0:00:40] | Templates: 6382 | Hosts: 1 | RPS: 143 | Matched: 0 | Errors: 8 | Requests: 5795/14616 (39%)
[0:00:45] | Templates: 6382 | Hosts: 1 | RPS: 145 | Matched: 0 | Errors: 12 | Requests: 6580/14616 (45%)
[0:00:50] | Templates: 6382 | Hosts: 1 | RPS: 148 | Matched: 0 | Errors: 28 | Requests: 7463/14616 (51%)
[0:00:55] | Templates: 6382 | Hosts: 1 | RPS: 150 | Matched: 0 | Errors: 32 | Requests: 8310/14616 (56%)
[0:01:00] | Templates: 6382 | Hosts: 1 | RPS: 157 | Matched: 0 | Errors: 32 | Requests: 9498/14616 (64%)
[0:01:05] | Templates: 6382 | Hosts: 1 | RPS: 157 | Matched: 0 | Errors: 32 | Requests: 10305/14616 (70%)
[0:01:10] | Templates: 6382 | Hosts: 1 | RPS: 151 | Matched: 0 | Errors: 32 | Requests: 10668/14616 (72%)
[0:01:15] | Templates: 6382 | Hosts: 1 | RPS: 141 | Matched: 0 | Errors: 38 | Requests: 10680/14616 (73%)
[0:01:20] | Templates: 6382 | Hosts: 1 | RPS: 133 | Matched: 0 | Errors: 40 | Requests: 10681/14616 (73%)
[0:01:25] | Templates: 6382 | Hosts: 1 | RPS: 125 | Matched: 0 | Errors: 40 | Requests: 10683/14616 (73%)
[0:01:30] | Templates: 6382 | Hosts: 1 | RPS: 118 | Matched: 0 | Errors: 50 | Requests: 10694/14616 (73%)
[0:01:35] | Templates: 6382 | Hosts: 1 | RPS: 112 | Matched: 0 | Errors: 75 | Requests: 10719/14616 (73%)
[0:01:40] | Templates: 6382 | Hosts: 1 | RPS: 106 | Matched: 0 | Errors: 81 | Requests: 10727/14616 (73%)
[0:01:45] | Templates: 6382 | Hosts: 1 | RPS: 102 | Matched: 0 | Errors: 105 | Requests: 10751/14616 (73%)
[0:01:50] | Templates: 6382 | Hosts: 1 | RPS: 97 | Matched: 0 | Errors: 125 | Requests: 10780/14616 (73%)
[0:01:55] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 142 | Requests: 10940/14616 (74%)
[0:02:00] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 144 | Requests: 11401/14616 (78%)
[0:02:05] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 144 | Requests: 11860/14616 (81%)
[0:02:10] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 144 | Requests: 12287/14616 (84%)
[0:02:15] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 148 | Requests: 12759/14616 (87%)
[0:02:20] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 148 | Requests: 13246/14616 (90%)
[0:02:25] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 148 | Requests: 13737/14616 (93%)
[0:02:30] | Templates: 6382 | Hosts: 1 | RPS: 94 | Matched: 0 | Errors: 148 | Requests: 14236/14616 (97%)
[0:02:35] | Templates: 6382 | Hosts: 1 | RPS: 92 | Matched: 0 | Errors: 148 | Requests: 14393/14616 (98%)
[0:02:38] | Templates: 6382 | Hosts: 1 | RPS: 91 | Matched: 0 | Errors: 148 | Requests: 14393/14616 (98%)
[0:02:38] | Templates: 6382 | Hosts: 1 | RPS: 91 | Matched: 0 | Errors: 148 | Requests: 14393/14616 (98%)
