[0:00:05] | Templates: 6327 | Hosts: 1 | RPS: 118 | Matched: 0 | Errors: 0 | Requests: 622/14522 (4%)
[0:00:10] | Templates: 6327 | Hosts: 1 | RPS: 145 | Matched: 0 | Errors: 0 | Requests: 1493/14522 (10%)
[0:00:15] | Templates: 6327 | Hosts: 1 | RPS: 150 | Matched: 0 | Errors: 2 | Requests: 2301/14522 (15%)
[0:00:20] | Templates: 6327 | Hosts: 1 | RPS: 157 | Matched: 0 | Errors: 2 | Requests: 3185/14522 (21%)
[0:00:25] | Templates: 6327 | Hosts: 1 | RPS: 159 | Matched: 0 | Errors: 3 | Requests: 4023/14522 (27%)
[0:00:30] | Templates: 6327 | Hosts: 1 | RPS: 163 | Matched: 0 | Errors: 7 | Requests: 4936/14522 (33%)
[0:00:35] | Templates: 6327 | Hosts: 1 | RPS: 162 | Matched: 0 | Errors: 8 | Requests: 5744/14522 (39%)
[0:00:40] | Templates: 6327 | Hosts: 1 | RPS: 163 | Matched: 0 | Errors: 27 | Requests: 6569/14522 (45%)
[0:00:45] | Templates: 6327 | Hosts: 1 | RPS: 165 | Matched: 0 | Errors: 27 | Requests: 7492/14522 (51%)
[0:00:50] | Templates: 6327 | Hosts: 1 | RPS: 164 | Matched: 0 | Errors: 31 | Requests: 8246/14522 (56%)
[0:00:55] | Templates: 6327 | Hosts: 1 | RPS: 172 | Matched: 0 | Errors: 31 | Requests: 9531/14522 (65%)
[0:01:00] | Templates: 6327 | Hosts: 1 | RPS: 170 | Matched: 0 | Errors: 31 | Requests: 10302/14522 (70%)
[0:01:05] | Templates: 6327 | Hosts: 1 | RPS: 162 | Matched: 0 | Errors: 31 | Requests: 10578/14522 (72%)
[0:01:10] | Templates: 6327 | Hosts: 1 | RPS: 151 | Matched: 0 | Errors: 66 | Requests: 10617/14522 (73%)
